k	cpu	gpu	speedup	cput	gput
6	1	0.2	5.02	1.1	0.3
16	2.5	0.4	6.26	2.6	0.5
26	4.2	0.66	6.35	5.2	1.66
36	5.5	0.83	6.61	6	1.33
46	7.4	1.06	6.98	7.9	1.56
56	8.7	1.28	6.8	9.2	1.78
66	10.4	1.51	6.87	10.9	2.01
76	12.1	1.73	6.98	13.1	2.73
86	13.7	1.97	6.96	14.7	2.97
106	16.9	2.41	7.01	17.9	3.41
136	21.6	3.1	6.98	22.6	4.1
156	24.6	3.53	6.97	26.6	5.53
186	29.5	4.19	7.05	31.5	6.19
206	32.4	4.58	7.07	34.4	6.58

