k	CollDet	k-CBP
6	48.17	48.17
8	43.73	67.69
10	43.33	78.96
12	65.03	78.93
14	66.33	85.82
16	68.68	87.99
18	67.85	89.01
20	68.49	88.73
22	70.49	89.84
24	72.28	90.34
26	76.40	89.88
28	76.36	93.62
30	77.15	93.67
32	76.93	92.84
34	77.40	91.35
36	78.91	91.37
38	75.82	92.70
40	79.23	92.78
42	80.27	93.40
44	80.25	92.26
46	82.40	93.26

