k	CollDet	k-CBP
6	29.85	29.85
8	9.91	58.62
10	34.10	70.09
12	34.40	73.65
14	37.91	77.69
16	40.24	80.20
18	45.44	86.72
20	39.63	92.38
22	48.16	92.38
24	51.68	92.70
26	40.85	92.90
28	43.36	91.04
30	48.01	91.79
32	56.18	90.89
34	52.71	92.64
36	56.85	92.64
38	54.69	90.65
40	50.78	90.65
42	57.29	92.76
44	46.44	93.34
46	56.58	93.12

