moves	ConstructKCBP	init-CD	CDtime(AABB)	count(kCBP)	count(real)	CD(kDOPTree)	CDtime(GJK)
10	21.4	206.6	4.2	4	3	1.6	4
50	18.8	205.2	5	7	7	5.2	3.4
100	25.2	205.2	28.2	27	23	10.4	20.4
200	23.6	204.2	46	42	39	21.6	28.4
300	17.4	204.4	61	58	53	31	37.2
400	22.4	205.4	78.4	77	70	41.6	44.2
500	23.6	203.8	108.8	115	109	53.8	67.8
600	23.4	204.2	162.2	169	159	64.8	113
700	22.6	205	161	165	161	73.6	101.6
800	21.8	204.4	145.6	150	135	80.6	81.8
900	18.6	204.2	182	194	175	92.6	111.6
1000	20.2	203.4	234	250	229	109.4	152
