k	CollDet	k-CBP
6	72.88	72.88
8	21.96	74.46
10	28.69	77.25
12	54.85	86.75
14	79.06	79.91
16	56.51	80.12
18	65.66	89.24
20	54.09	82.04
22	64.08	83.53
24	63.78	86.44
26	67.38	90.22
28	62.69	89.21
30	57.75	89.53
32	62.18	93.07
34	61.49	93.88
36	72.42	93.92
38	63.18	94.14
40	66.33	92.88
42	67.42	95.06
44	73.46	93.08
46	73.06	92.46

