k	CollDet	k-CBP
6	40.90	40.90
8	32.61	65.43
10	38.53	78.70
12	48.44	79.90
14	58.95	84.34
16	57.95	83.61
18	60.27	86.78
20	65.81	86.97
22	66.16	87.51
24	65.62	89.39
26	66.46	90.99
28	68.97	90.67
30	72.35	90.71
32	70.95	91.50
34	74.72	91.49
36	74.73	91.49
38	72.32	91.39
40	70.74	91.84
42	74.71	90.84
44	74.15	91.69
46	76.44	92.39

