moves	ConstructKCBP	init-CD	CDtime(AABB)	count(kCBP)	count(real)	CD(kDOPTree)	CDtime(GJK)
10	11.6	505.2	0	0	0	0	0
50	11.4	500.4	0.4	0	0	0.4	0
100	11.6	502.8	1.6	0	0	1	0
200	11.8	496	3	2	2	4.6	0.8
300	11.4	496.6	3.4	3	2	6	0.4
400	11.6	495.8	4	4	2	7.4	0.8
500	11.4	494.6	6	6	4	9.4	2.4
600	12.2	497.8	7.2	7	5	10.6	2.4
700	12.2	497.2	8.2	10	6	11.6	3
800	12	499.2	8.4	11	7	12	3
900	11.4	497	10.8	13	8	13.8	4
1000	11.6	501.6	10.8	13	8	14.4	4.4
