moves	ConstructKCBP	init-CD	CDtime(AABB)	count(kCBP)	count(real)	CD(kDOPTree)	CDtime(GJK)
10	38.2	2274	0.8	0	0	1	0
50	36.4	2255	3	2	0	5	1.6
100	37.2	2274.8	6.4	4	2	9.8	2
200	36.8	2262	14	10	4	19	3
300	37	2266.6	22.8	14	7	28.8	5.2
400	37.8	2262.6	31	16	8	38.4	5.6
500	36.4	2275.4	44	21	10	46.8	7.4
600	37.4	2275.2	54.8	26	13	57	11
700	36.2	2278.2	72	31	16	70.4	19.8
800	37	2256	81.4	35	18	77.6	20.2
900	36.6	2263.4	96.4	44	21	93	27.8
1000	36.2	2305.2	105.6	45	21	99.8	27.4
