n(Box)	n	CT(k-CBP)	DT(k-CBP-AABB)	DT(k-CBP-GJK)	 DP(kCBP)	 DP(model)	CT(k-DOP)	DT(k-DOP)	DP(Box)
3	10 	399.30 	0.00 	0.00 	0 	0 	6385.60 	0.00 	2 
8	20 	565.30 	0.20 	0.10 	2 	2 	8506.00 	0.20 	2 
25	30 	2409.90 	1.70 	0.60 	7 	5 	40429.20 	1.00 	21 
33	40 	2680.10 	1.40 	0.20 	8 	5 	44622.80 	1.00 	11 
55	60 	4588.10 	3.00 	1.10 	9 	4 	76411.60 	3.60 	29 
63	70 	6414.30 	3.50 	1.50 	15 	12 	108698.20 	4.80 	42 
78	80 	7196.10 	4.80 	2.40 	19 	8 	121176.80 	2.40 	57 
84	90 	7928.60 	5.10 	2.60 	17 	11 	134060.00 	8.00 	61 
93	100 	9674.50 	9.20 	6.00 	37 	21 	163611.80 	18.80 	106 
