k,cpu,zbuffer,pingpong,cput
6,26,17,178,26.4
16,70,48,181,69.7
26,114,68,183,113.5
36,153,70,178,152.5
46,203,102,176,203
56,241,131,177,240.8
66,285,162,179,285
76,331,196,189,330.7
86,373,225,192,373.3
106,464,257,191,463.6
136,604,349,180,603.8
156,693,378,202,693.2
186,861,474,180,861.4
206,962,533,209,961.8
