moves	ConstructKCBP	init-CD	CDtime(AABB)	count(kCBP)	count(real)	CD(kDOPTree)	CDtime(GJK)
10	6.4	153.2	0.00 	0	0	0.00 	0.00 
50	8	154	0.00 	0	0	0.60 	0.00 
100	5.8	152	6.40 	3	2	1.60 	5.60 
200	8.8	154	1.40 	1	0	2.40 	1.20 
300	5.2	153	1.60 	0	0	3.60 	0.20 
400	6	152.2	4.80 	3	1	4.60 	2.40 
500	6.2	151.8	5.40 	3	2	6.40 	3.00 
600	6.6	154	7.80 	6	6	8.00 	5.00 
700	8.4	155.4	6.80 	2	1	7.00 	2.80 
800	7	155.2	5.20 	5	5	9.80 	2.00 
900	7	154.2	6.20 	1	1	9.00 	0.20 
1000	7.4	153	14.80 	9	9	13.20 	8.80 

