moves	ConstructKCBP	init-CD	CDtime(AABB)	count(kCBP)	count(real)	CD(kDOPTree)	CDtime(GJK)
10	2.4	13.8	0	0	0	0	0
50	3.2	14.6	1.8	1	1	0.6	0
100	3	12.8	2.2	3	2	1	1
200	2	11.4	4.2	7	6	2.4	2.2
300	2.4	13.4	4.6	9	8	3.4	2.2
400	2.2	16.8	5.8	12	10	4.6	2.2
500	2.8	16.4	7.6	14	12	5.8	2.8
600	2	13.4	10.6	16	13	6.2	4.4
700	2.4	14.6	12.4	19	15	7.6	5.4
800	2.6	15.8	14.4	21	17	9.2	7.6
900	3.2	14.8	16.2	25	21	10.2	7.2
1000	3	16.8	20.4	26	21	11.2	8
