n(Box)	n	CT(k-CBP)	DT(k-CBP-AABB)	DT(k-CBP-GJK)	 DP(kCBP)	 DP(model)	CT(k-DOP)	DT(k-DOP)	DP(Box)
3	10 	328.40 	0.40 	0.20 	0	0	8034.00 	0.00 	2 
5	20 	563.00 	2.00 	1.80 	2	2	13389.80 	0.20 	3 
25	30 	2443.60 	18.20 	16.80 	17	16	66886.40 	4.60 	34 
34	40 	3346.60 	23.80 	22.00 	18	15	91132.40 	5.60 	26 
44	50 	4284.00 	11.60 	9.20 	29	21	117780.40 	12.40 	52 
53	60 	5173.60 	12.00 	10.40 	40	34	141791.60 	9.60 	68 
64	70 	6284.80 	65.60 	63.40 	48	39			
76	80 	7384.00 	57.60 	55.00 	66	57			
84	90 	8163.40 	75.00 	73.40 	81	65			
93	100 	9096.80 	106.00 	107.00 	138	113			
