moves	ConstructKCBP	init-CD	CDtime(AABB)	count(kCBP)	count(real)	CD(kDOPTree)	CDtime(GJK)
10	52.6	2256.4	0.8	0	0	2.8	0
50	52.6	2259.2	4.6	2	0	12	1.4
100	51.8	2262.8	10	4	2	23.2	2.2
200	52.2	2265.2	24	10	4	47	2.6
300	52.2	2263.6	38.2	14	7	70.2	5.2
400	52.4	2259.4	52.2	16	8	92.6	5.8
500	52.2	2260	75.4	21	10	120	7.4
600	53.4	2260.6	90.6	26	13	141.8	10.8
700	52	2265.8	116.6	31	16	164.4	19.6
800	54	2263	134.8	34	18	189.8	20
900	52.2	2255.6	154.6	43	21	213.4	27.4
1000	52.8	2252	167.2	43	21	235	27.4
