n(Box)	n	CT(k-CBP)	DT(k-CBP-AABB)	DT(k-CBP-GJK)	 DP(kCBP)	 DP(model)	CT(k-DOP)	DT(k-DOP)	DP(Box)
3	10 	29.30 	0.00 	0.20 	2 	0 	285.00 	0.00 	2 
10	20 	77.30 	0.70 	0.50 	4 	2 	937.20 	0.60 	10 
24	30 	162.20 	2.00 	1.60 	31 	24 	2233.60 	2.00 	42 
38	40 	244.70 	2.10 	1.50 	21 	19 	3522.20 	1.80 	42 
46	50 	302.90 	3.10 	2.70 	43 	35 	4238.20 	2.60 	66 
59	60 	375.80 	5.00 	4.80 	62 	49 	5447.60 	4.00 	121 
68	70 	430.40 	5.20 	5.30 	77 	61 	6271.00 	5.20 	144 
78	80 	492.10 	6.90 	6.90 	101 	85 	7186.20 	6.60 	167 
88	90 	550.30 	8.70 	10.50 	119 	84 	8096.20 	8.20 	261 
97	100 	615.00 	10.60 	14.10 	200 	161 	8925.80 	14.00 	335 
