k	cpu	gpu	speedup	cput	gput
6	0.7	0.19	3.74	0.8	0.29
16	2	0.35	5.76	3	1.35
26	3.2	0.5	6.35	4.2	1.5
36	4.2	0.7	6.02	5.2	1.7
46	5.7	0.87	6.54	7.7	2.87
56	6.8	1.02	6.69	7.8	2.02
66	7.9	1.18	6.69	9.9	3.18
76	9.1	1.41	6.46	11.1	3.41
86	10.3	1.57	6.54	11.3	2.57
106	12.8	1.91	6.71	14.8	3.91
136	16.5	2.44	6.77	18.5	4.44
156	19	2.81	6.75	21	4.81
186	22.7	3.34	6.81	24.7	5.34
206	25.1	3.65	6.89	27.1	5.65

