n(Box)	n	CT(k-CBP)	DT(k-CBP-AABB)	DT(k-CBP-GJK)	 DP(kCBP)	 DP(model)	CT(k-DOP)	DT(k-DOP)	DP(Box)
2	10	554.00 	0.20 	0.00 	0	0	7863.00 	0.00 	1 
5	20	1334.80 	0.60 	0.00 	2	2	19653.80 	0.20 	3 
22	30	5561.60 	1.60 	1.00 	11	7	86792.80 	1.40 	29 
27	40	6794.60 	1.80 	0.60 	11	8	106080.60 	2.20 	15 
31	50	7920.40 	2.40 	1.00 	16	11	122201.80 	3.00 	27 
48	60	12146.80 	4.20 	2.20 	28	16	189812.00 	9.50 	43 
