n(Box)	n	CT(k-CBP)	DT(k-CBP-AABB)	DT(k-CBP-GJK)	 DP(kCBP)	 DP(model)	CT(k-DOP)	DT(k-DOP)	DP(Box)
3	10 	56.20 	0.80 	0.00 	2	2	1877.60 	0.20 	2 
8	20 	129.60 	1.20 	0.20 	3	2	4967.00 	0.60 	5 
25	30 	342.40 	4.00 	3.00 	28	27	15472.40 	3.40 	37 
33	40 	442.80 	4.20 	2.00 	20	20	20398.60 	3.00 	26 
40	50 	539.80 	5.20 	3.20 	35	33	24705.20 	4.80 	44 
55	60 	722.40 	8.00 	5.80 	56	53	33983.60 	7.60 	70 
63	70 	831.80 	9.00 	7.80 	64	60	38928.20 	8.80 	90 
78	80 	1012.80 	12.00 	10.80 	90	86	48187.40 	11.80 	123 
84	90 	1103.40 	12.80 	12.00 	106	103	51851.20 	17.00 	144 
93	100 	1213.60 	16.20 	18.60 	175	169	57566.60 	25.20 	220 
