moves	ConstructKCBP	init-CD	CDtime(AABB)	count(kCBP)	count(real)	CD(kDOPTree)	CDtime(GJK)
10	35.6	1361.4	2	0	0	2.2	0
50	35.6	1361.4	10.6	3	2	11.4	3
100	35.8	1365.6	18.2	5	4	23.2	3.6
200	36.8	1373.6	37.2	14	13	47	10.6
300	36	1362.8	51	22	20	77.4	16.2
400	36	1368.6	71.6	29	26	96.4	23.4
500	36	1366.6	98.8	41	36	120	31
600	36.6	1404	120.6	54	48	142.4	44.6
700	37	1364	128	62	53	164.8	44
800	38	1372.6	150.8	72	62	189.2	51
900	35.8	1365.8	170.4	84	70	212.6	63.4
1000	36.4	1368.4	187.8	87	72	236	68
