k	cpu	gpu	speedup	cput	gput
6	0.3	0.09	3.51	0.4	0.19
16	0.5	0.14	3.67	1.5	1.14
26	0.9	0.19	4.7	1.9	1.19
36	1.1	0.28	3.96	2.6	1.78
46	1.4	0.29	4.76	2.9	1.79
56	1.8	0.34	5.24	3.8	2.34
66	2	0.44	4.53	4	2.44
76	2.4	0.49	4.9	4.4	2.49
86	2.8	0.52	5.4	4.8	2.52
106	3.3	0.62	5.31	5.3	2.62
136	4.3	0.77	5.6	6.3	2.77
156	5	0.9	5.54	7	2.9
186	5.9	1.05	5.6	7.9	3.05
206	6.5	1.13	5.76	8.5	3.13

