k,cpu,zbuffer,pingpong,cput
6,1,1,4,0.4
16,2,2,4,1.5
26,2,3,4,1.9
36,3,2,4,2.6
46,3,4,4,2.9
56,4,4,4,3.8
66,4,5,4,4
76,4,5,4,4.4
86,5,6,4,4.8
106,5,7,3,5.3
136,6,8,3,6.3
156,7,8,4,7
186,8,10,3,7.9
206,9,11,4,8.5
