moves	ConstructKCBP	init-CD	CDtime(AABB)	count(kCBP)	count(real)	CD(kDOPTree)	CDtime(GJK)
10	10.8	104.8	3.4	5	2	1.2	2
50	16	108.2	12	15	11	5	5.6
100	13.8	103.4	23	25	20	10.4	7.2
200	13.2	103	41.4	54	43	20.4	14.2
300	15.6	105.6	57.6	76	62	30.4	18.6
400	9.4	107.2	78.4	103	82	44.8	26.6
500	12.4	108.4	103	129	102	50.6	33.4
600	18.4	104.4	123.8	156	122	60.4	42.6
700	11.2	105.6	144	187	147	70.6	50.8
800	14.4	107.6	171	217	170	81.6	60.8
900	15	103.8	193.6	243	191	93.4	69.2
1000	13.8	107.2	210.6	259	202	102.2	74.6
