moves	ConstructKCBP	init-CD	CDtime(AABB)	count(kCBP)	count(real)	CD(kDOPTree)	CDtime(GJK)
10	7.8	241.4	0	0	0	0.20 	0
50	7.6	243.4	0	0	0	0.40 	0
100	7.4	244.8	3	2	2	4.20 	2.6
200	8	242.4	1	0	0	2.40 	0.2
300	7.8	243	0.2	0	0	3.20 	0.2
400	7.2	242	3.8	2	1	5.00 	2.8
500	7.4	243.4	2.4	1	0	5.20 	0.2
600	8	243	4.6	0	0	6.00 	0
700	7.8	241.6	4.4	1	1	7.20 	1.8
800	8	242.4	6	3	1	12.00 	1.6
900	8	244	4.2	2	1	10.00 	0.8
1000	7.4	243	9.2	5	3	10.80 	2.4
