k	cpu	gpu	speedup	cput	gput
6	26.3	3.22	8.16	26.4	3.32
16	69.6	8.47	8.22	69.7	8.57
26	112.5	13.72	8.2	113.5	14.72
36	151.5	18.45	8.21	152.5	19.45
46	202	24.24	8.33	203	25.24
56	238.8	28.96	8.25	240.8	30.96
66	283	34.25	8.26	285	36.25
76	328.7	40	8.22	330.7	42
86	371.3	45.22	8.21	373.3	47.22
106	460.6	55.73	8.26	463.6	58.73
136	600.8	71.47	8.41	603.8	74.47
156	690.2	81.43	8.48	693.2	84.43
186	858.4	97.69	8.79	861.4	100.69
206	958.8	107.14	8.95	961.8	110.14

